Job Title,Rating,Company Name,Headquarters,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Location City,Location State,Est_Salary
Data Scientist,3.5,Hopper,"Montreal, Canada",2007,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1,0,New York, NY,146.0
Data Scientist,4.5,Noom US,"New York, NY",2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,0,New York, NY,146.0
DATA SCIENCE MANAGER,3.2835763622409817,Decode_M,"New York, NY",1976,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,1,New York, NY,146.0
Data Analyst,3.4,Sapphire Digital,"Lyndhurst, NJ",2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Zocdoc, Healthgrades",0,Lyndhurst, NJ,146.0
DIRECTOR,3.4,United Entertainment Group,"New York, NY",2007,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"BBDO, Grey Group, Droga5",0,New York, NY,146.0
Data Scientist,2.9,IFG Companies,"Hartford, CT",1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI",0,New York, NY,146.0
QUANTITATIVE RESEARCHER,4.4,PDT Partners,"New York, NY",1993,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0,New York, NY,146.0
QUANTITATIVE RESEARCH ASSOCIATE,3.2835763622409817,Enlightenment Research,"New York, NY",1976,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,1,New York, NY,146.0
Data Scientist,5.0,Paige,"New York, NY",2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,1,New York, NY,146.0
QUANTITATIVE RESEARCHER,4.8,Jane Street,"New York, NY",2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0,New York, NY,146.0
Data Scientist,3.9,Quartet Health,"New York, NY",2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,1,New York, NY,146.0
Data Scientist,4.4,PulsePoint,"New York, NY",2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk",0,New York, NY,146.0
