Location State_ CA,Location State_ NY,Location City_San Diego,Founded,Location City_Los Angeles,Job Title_Data Scientist,Job Title_Data Analyst,Job Title_Data Engineer,Location City_Austin,Location City_Burbank,Type of ownership_Nonprofit Organization,Sector_Information Technology,Location City_Dallas,Location City_Houston,Revenue_Unknown / Non-Applicable,Type of ownership_Company - Public,Rating_3,Sector_Business Services,Sector_Unknown,Type of ownership_Company - Private,Revenue_$100 to $500 million (USD),Rating_4,Revenue_$10+ billion (USD),"Headquarters_Chicago, IL",Location State_ IL,Est_Salary
0,1,0,2007,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,146.0
0,1,0,2008,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,146.0
0,1,0,1976,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,146.0
0,0,0,2019,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,146.0
0,1,0,2007,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,146.0
0,1,0,1985,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,146.0
0,1,0,1993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,146.0
0,1,0,1976,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,146.0
0,1,0,2018,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,146.0
0,1,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,146.0
0,1,0,2014,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,146.0
0,1,0,2011,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,146.0
0,1,0,1999,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,146.0
0,1,0,2014,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,146.0
0,1,0,2001,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,146.0
0,1,0,1998,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,146.0
0,1,0,2005,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,146.0
0,1,0,1943,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,146.0
0,1,0,2005,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,146.0
0,1,0,2012,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,146.0
0,1,0,1923,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,146.0
0,1,0,2003,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,146.0
0,1,0,2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,146.0
0,1,0,1998,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,146.0
0,1,0,2015,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,146.0
0,1,0,2006,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,146.0
0,1,0,2010,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,146.0
0,1,0,1853,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,146.0
0,1,0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,146.0
0,1,0,1853,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,146.0
0,1,0,2001,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,130.0
0,1,0,2012,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,130.0
0,1,0,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,130.0
0,1,0,2010,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,130.0
0,1,0,1914,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,130.0
0,1,0,2003,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,130.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,130.0
0,1,0,2013,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,130.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,130.0
0,1,0,2015,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,130.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,130.0
0,1,0,2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,130.0
0,1,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,130.0
0,1,0,2004,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,130.0
0,1,0,1976,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,130.0
0,1,0,2013,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,130.0
0,1,0,2014,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,130.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,130.0
0,1,0,1998,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,130.0
0,1,0,2011,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,130.0
0,1,0,2014,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,130.0
0,1,0,1799,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,130.0
0,1,0,2006,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,130.0
0,1,0,2015,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,130.0
0,1,0,1853,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,130.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,130.0
0,1,0,1935,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,130.0
0,1,0,1995,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,130.0
0,1,0,1994,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,130.0
0,1,0,1994,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,130.0
0,1,0,2006,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,133.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,133.0
0,1,0,2015,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,133.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,133.0
0,1,0,2008,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,133.0
0,0,0,1799,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,133.0
0,1,0,1988,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,133.0
0,1,0,2004,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,133.0
0,1,0,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,133.0
0,1,0,1994,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,133.0
0,1,0,1993,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,133.0
0,1,0,2010,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,133.0
0,1,0,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,133.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,133.0
0,1,0,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,99.0
0,0,0,1917,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,99.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99.0
0,1,0,1923,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,99.0
0,1,0,1998,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,99.0
0,1,0,1947,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,99.0
0,1,0,1947,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,99.0
0,1,0,1985,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0
0,1,0,1976,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,99.0
0,1,0,1999,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,99.0
0,1,0,2004,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,99.0
